source,type,department,bu_cost_center,billed_cost_center,cost_center,business_unit,business_internal,revenue_type,cc_costs_type,bu_costs_type,client,client_status,pm,sm,project_id,project,project_status,category,detail,media_type,paid_by,month,year,duzp,cf_date,dph_date,id_mediaplan,mediaplan,invoice_number,invoice_issue_date,invoice_due_date,invoice_payment_date,forecast_level,main_status,finance_status,cf_status,probability,hours,firma,industry,cost_category,fc_source,fc_source_prepayments,client_logo,pm_email,pm_picture,price_fc_revenues,price_fc_revenues_prepayments,price_fc_costs,price_fc_costs_prepayments,price_bp_revenues,price_bp_revenues_prepayments,price_bp_costs,price_bp_costs_prepayments,price_bp_revised_revenues,price_bp_revised_revenues_prepayments,price_bp_revised_costs,price_bp_revised_costs_prepayments,price_real_revenues,price_real_revenues_prepayments,price_real_revenues_findb,price_real_costs,forecast_fc_revenues,forecast_fc_revenues_prepayments,forecast_fc_costs,forecast_fc_costs_prepayments,forecast_fc_revenue_cm,forecast_fc_costs_cm,forecast_fc_real_up_to_date_revenues,forecast_fc_real_up_to_date_revenues_prepayments,price_fc_real_up_to_date_revenues_prepayments,forecast_fc_real_up_to_date_costs,forecast_fc_real_up_to_date_costs_prepayments,price_fc_real_up_to_date_costs_prepayments
Mediaplán (CMP) - Závazky,Costs,,,,,BU2,Business,,,,-,Existing,-,-,4550026,-,ne,média,Meta,běžné,MUP,1,2027,2027-01-01,2027-03-01,2027-01-01,13768,-,,,,,3,Forecast,Plán - CMP,Závazky - plán,0.8,,Meta,Retail & Consumer Services,Business,CM,CM,-,-,-,,,160714.28571428577,160714.28571428577,,,,,,,,,,,,,,,128571.42857142862,128571.42857142862,,128571.42857142862,,,,128571.42857142862,128571.42857142862,160714.28571428577
Mediaplán (CMP) - Závazky,Costs,,,,,BU2,Business,,,,-,Existing,-,-,4550025,-,ne,datové produkty,Product,běžné,MUP,1,2027,2027-01-01,2027-03-01,2027-01-01,13767,-,,,,,3,Forecast,Plán - CMP,Závazky - plán,0.8,,,Retail & Consumer Services,Business,,CM,-,-,-,,,,,,,,,,,,,,,,,,,,,,2285.7142857142881,,,,,,
Mediaplán (CMP) - Závazky,Costs,,,,,BU2,Business,,,,-,Existing,-,-,4550025,-,ne,média,Burda,ziskové,MUP,1,2027,2027-01-01,2027-03-01,2027-01-01,13767,-,,,,,3,Forecast,Plán - CMP,Závazky - plán,0.8,,Burda,Retail & Consumer Services,Business,CM,CM,-,-,-,,,114285.714285714,114285.714285714,,,,,,,,,,,,,,,91428.5714285712,91428.5714285712,,91428.5714285712,,,,91428.5714285712,91428.5714285712,114285.714285714
Mediaplán (CMP) - Závazky,Costs,,,,,BU2,Business,,,,-,Existing,-,-,4550025,-,ne,služby,Project Management,,MUP,1,2027,2027-01-01,2027-03-01,2027-01-01,13767,-,,,,,3,Forecast,Plán - CMP,Závazky - plán,0.8,10.7142857142857,,Retail & Consumer Services,Business,,CM,-,-,-,,,,,,,,,,,,,,,,,,,,,,14571.428571428549,,,,,,
Mediaplán (CMP) - Závazky,Costs,,,,,BU2,Business,,,,-,Existing,-,-,4550025,-,ne,zisk z médií,Google Ads,běžné,MUP,1,2027,2027-01-01,2027-03-01,2027-01-01,13767,-,,,,,3,Forecast,Plán - CMP,Závazky - plán,0.8,,,Retail & Consumer Services,Business,,CM,-,-,-,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
Mediaplán (CMP) - Závazky,Costs,,,,,BU2,Business,,,,-,New,-,-,7210003,-,ne,služby,Strategy,,MUP,1,2027,2027-01-01,2027-03-01,2027-01-01,14744,-,,,,,3,Forecast,Plán - CMP,Závazky - plán,0.7,2.14285714285714,,Retail & Consumer Services,Business,,CM,-,-,-,,,,,,,,,,,,,,,,,,,,,,3284.9999999999959,,,,,,
Mediaplán (CMP) - Závazky,Costs,,,,,BU2,Business,,,,-,Existing,-,-,4550026,-,ne,služby,Campaigns,,MUP,1,2027,2027-01-01,2027-03-01,2027-01-01,13768,-,,,,,3,Forecast,Plán - CMP,Závazky - plán,0.8,12.1428571428571,,Retail & Consumer Services,Business,,CM,-,-,-,,,,,,,,,,,,,,,,,,,,,,16999.999999999942,,,,,,
Mediaplán (CMP) - Závazky,Costs,,,,,BU2,Business,,,,-,Existing,-,-,4550025,-,ne,média,Google Ads,běžné,MUP,1,2027,2027-01-01,2027-03-01,2027-01-01,13767,-,,,,,3,Forecast,Plán - CMP,Závazky - plán,0.8,,Google Ads,Retail & Consumer Services,Business,CM,CM,-,-,-,,,35714.2857142857,35714.2857142857,,,,,,,,,,,,,,,28571.428571428565,28571.428571428565,,28571.428571428565,,,,28571.428571428565,28571.428571428565,35714.2857142857
Mediaplán (CMP) - Závazky,Costs,,,,,BU2,Business,,,,-,Existing,-,-,4550026,-,ne,zisk z médií,Meta,běžné,MUP,1,2027,2027-01-01,2027-03-01,2027-01-01,13768,-,,,,,3,Forecast,Plán - CMP,Závazky - plán,0.8,,,Retail & Consumer Services,Business,,CM,-,-,-,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
Mediaplán (CMP) - Závazky,Costs,,,,,BU2,Business,,,,-,Potential,-,-,7770001,-,ne,služby,,,MUP,1,2027,2027-01-01,2027-03-01,2027-01-01,14668,-,,,,,1,Forecast,Plán - CMP,Závazky - plán,0.3,,,Automotive,Business,,CM,-,-,-,,,,,,,,,,,,,,,,,,,,,,24180,,,,,,
